svg412,9.0413793,165,983.85862,663.2
switch410,9.0413793,165,983.85862,663.2
g408,9.0413793,165,983.85862,663.2
_x23_other_x28_have_x5B_window_x2C_plant_x2C_building_x5D__x29_,9.0413793,165,983.85862,663.2
g283,9.0413793,165,983.85862,663.2
g281,9.0413793,165,983.85862,663.2
g279,9.0413793,165,983.85862,663.2
g209,9.0413793,165,983.85862,663.2
g139,9.0413793,165,983.85862,663.2
path4,20.1,624.47293,970,203.72707
path6,9.0413793,165.11643,983.85862,547.75935
path15,9.0413793,165.11643,983.85862,547.75935
path17,58.563932,279.5,905.98447,11.4
circle19,219.6,225.1,6.8000002,6.8000002
circle21,113.2,218.49999,6.8000002,6.8000002
circle23,259.20001,227.1,2.8,2.8
circle25,152.20001,223.8,2.8,2.8
circle27,150.8,323.49999,2.8,2.8
path29,59.7,424.9,933.1,288.75918
path31,59.7,424.9,933.1,288.75918
rect33,87.800003,498.79999,25.299999,17.1
rect35,128.3,498.79999,25.299999,17.1
rect37,228.39999,443.70001,25.299999,17.1
rect39,228.39999,482.10001,25.299999,17.1
rect41,228.39999,520.40002,25.299999,17.1
rect43,228.39999,558.70001,25.299999,17.1
rect45,228.39999,597.09998,25.299999,17.1
rect47,228.39999,635.40002,25.299999,17.1
rect49,228.39999,673.79999,25.299999,17.1
rect51,87.800003,543.5,25.299999,17.1
rect53,128.3,543.5,25.299999,17.1
rect55,87.800003,588.29999,25.299999,17.1
rect57,128.3,588.29999,25.299999,17.1
rect59,87.800003,632.90002,25.299999,17.1
rect61,128.3,632.90002,25.299999,17.1
path63,182.5,165,11.4,535.8
path65,9.4,581.7,968.2,11.4
path67,203.26808,614.4244,69.134069,71.975602
path69,203.26808,614.4244,69.134069,71.975602
path71,204.27269,618.25273,13.527307,17.347269
path73,220.25877,614.35045,6.1400629,12.149552
path75,249.51625,615.07077,7.5934415,14.229226
path77,260.3,619.2742,13.315415,14.725802
path79,211.8,625.2,6,10.3
path81,220.3,622.5,3,4
path83,211.77944,623.95128,24.420561,32.748717
path85,253.4,624.8,3.5,4.5
path87,260.3,625.6,5.4,8.5
path89,236.41394,626.13725,29.612653,36.149342
rect91,207.39999,715.79999,41.700001,10.9
rect93,200.8,680.20001,54.400002,38.200001
rect95,207.39999,715.79999,41.700001,10.9
rect97,200.8,680.20001,54.400002,38.200001
rect99,210.2,715.79999,41.700001,10.9
path101,226.2,648.4,10,8.3
path103,236.41394,650.9,13.086061,11.386593
path105,214.1,649.61147,35.447633,36.788532
circle107,218.9,633.10002,2.5999999,2.5999999
circle109,218.80001,639.49999,2.5999999,2.5999999
circle111,258.49999,634.40001,2.5999999,2.5999999
circle113,226.59999,667.2,2.5999999,2.5999999
circle115,255.7,644.99999,2.5999999,2.5999999
circle117,241.5,659.2,2.5999999,2.5999999
circle119,223.59999,635.90001,2.5999999,2.5999999
circle121,254.7,638.49999,2.5999999,2.5999999
circle123,250.09999,649.10002,2.5999999,2.5999999
circle125,235.59999,666.10002,2.5999999,2.5999999
circle127,232.7,659.40001,2.5999999,2.5999999
circle129,225.59999,644.2,2.5999999,2.5999999
rect131,210.2,715.79999,41.700001,4
rect133,203.5,680.20001,54.400002,38.200001
circle135,237.5,672.29998,2.5999999,2.5999999
circle137,229.30001,673.99999,2.5999999,2.5999999
rect141,735.90002,620.40002,25.299999,17.1
rect143,735.90002,672.70001,25.299999,17.1
rect145,825.29999,620.40002,25.299999,17.1
rect147,825.29999,672.70001,25.299999,17.1
path149,741.42311,662.3,22.977248,31.4
path151,749.79601,648.2,23.203994,43.6
path153,760.22306,637.8,16.630876,56.008104
path155,783.2,662.3,27.406331,31.4
path157,774.7,648.2,28.20138,43.6
path159,770.88146,637.8,20.618536,55.967383
path161,767.54857,619.5,14.929277,73.712794
path163,741.42311,662.3,22.977248,31.4
path165,749.79601,648.2,23.203994,43.6
path167,760.22306,637.8,16.630876,56.008104
path169,783.2,662.3,27.406331,31.4
path171,774.7,648.2,28.20138,43.6
path173,770.88146,637.8,20.618536,55.967383
path175,767.54857,619.5,14.929277,73.712794
path177,741.84899,662.3,25.05133,31.4
path179,749.79844,648.2,25.70156,43.6
path181,760.2,660.7,15.3,30.9
path183,760.89472,637.8,18.446093,56.008104
path185,785.7,662.3,25.05101,31.4
path187,777.2,648.2,25.70156,43.6
path189,777.1,660.7,15.4,31
path191,773.38146,637.8,18.312984,55.967383
